id,creation_date,modification_date,discount_end_date,discount_start_date,end_date,has_discount,retailer_cash_price,retailer_credit_price,retailer_discounted_cash_price,retailer_discounted_credit_price,start_date,status,created_by,modified_by,product_package_unit_details_id,discount_type_id,is_postpaid_price_discounted,discount_amount,supplier_id,applied_by_discount_manager,reject_reason,reject_comment,buyer_type_id,previous_price_id,migration_status
10262518,"2022-08-08 22:33:49","2022-08-08 22:33:49",NULL,NULL,NULL,0,2520.00,2772.00,NULL,NULL,"2022-08-09 00:00:00",SCHEDULED,57647,57647,12131,NULL,NULL,NULL,140015,0,NULL,NULL,4,NULL,NEW
10261834,"2022-08-08 13:30:09","2022-08-08 13:30:09","2022-08-23 00:00:00","2022-08-09 00:00:00",NULL,1,130.00,143.00,123.00,NULL,"2022-08-09 00:00:00",SCHEDULED,135833,135833,35459,2,NULL,7.00,156741,0,NULL,NULL,8,NULL,NEW
10261833,"2022-08-08 13:30:09","2022-08-08 13:30:09","2022-08-23 00:00:00","2022-08-09 00:00:00",NULL,1,130.00,143.00,123.00,NULL,"2022-08-09 00:00:00",SCHEDULED,135833,135833,35459,2,NULL,7.00,156741,0,NULL,NULL,7,NULL,NEW
10261832,"2022-08-08 13:30:09","2022-08-08 13:30:09","2022-08-23 00:00:00","2022-08-09 00:00:00",NULL,1,130.00,143.00,123.00,NULL,"2022-08-09 00:00:00",SCHEDULED,135833,135833,35459,2,NULL,7.00,156741,0,NULL,NULL,4,NULL,NEW
10261831,"2022-08-08 13:30:09","2022-08-08 13:30:09","2022-08-23 00:00:00","2022-08-09 00:00:00",NULL,1,130.00,143.00,123.00,NULL,"2022-08-09 00:00:00",SCHEDULED,135833,135833,35459,2,NULL,7.00,156741,0,NULL,NULL,2,NULL,NEW
10040116,"2022-06-20 18:31:21","2022-06-20 18:31:21",NULL,NULL,NULL,0,590.00,649.00,NULL,NULL,"2022-06-21 00:00:00",SCHEDULED,72573,72573,3522,NULL,NULL,NULL,61629,0,NULL,NULL,4,NULL,NEW
10040115,"2022-06-20 18:31:21","2022-06-20 18:31:21",NULL,NULL,NULL,0,590.00,649.00,NULL,NULL,"2022-06-21 00:00:00",SCHEDULED,72573,72573,3522,NULL,NULL,NULL,61629,0,NULL,NULL,2,NULL,NEW
10040114,"2022-06-20 18:31:21","2022-06-20 18:31:21",NULL,NULL,NULL,0,590.00,649.00,NULL,NULL,"2022-06-21 00:00:00",SCHEDULED,72573,72573,3522,NULL,NULL,NULL,61629,0,NULL,NULL,1,NULL,NEW
10019925,"2022-06-17 02:47:18","2022-06-17 02:47:18","2022-06-30 00:00:00","2022-06-30 00:00:00",NULL,1,600.00,660.00,560.00,NULL,"2022-06-23 00:00:00",SCHEDULED,72573,72573,35901,2,NULL,40.00,157323,0,NULL,NULL,4,NULL,NEW
10019924,"2022-06-17 02:47:18","2022-06-17 02:47:18","2022-06-30 00:00:00","2022-06-30 00:00:00",NULL,1,600.00,660.00,560.00,NULL,"2022-06-23 00:00:00",SCHEDULED,72573,72573,35901,2,NULL,40.00,157323,0,NULL,NULL,2,NULL,NEW
7986051,"2021-10-26 22:08:11",NULL,NULL,NULL,NULL,0,19.10,21.01,NULL,NULL,"2021-10-27 00:00:00",SCHEDULED,82972,NULL,4086,NULL,NULL,NULL,79633,0,NULL,NULL,8,NULL,MIGRATED
7986050,"2021-10-26 22:08:11",NULL,NULL,NULL,NULL,0,19.10,21.01,NULL,NULL,"2021-10-27 00:00:00",SCHEDULED,82972,NULL,4086,NULL,NULL,NULL,79633,0,NULL,NULL,7,NULL,MIGRATED
7986049,"2021-10-26 22:08:11",NULL,NULL,NULL,NULL,0,19.10,21.01,NULL,NULL,"2021-10-27 00:00:00",SCHEDULED,82972,NULL,4086,NULL,NULL,NULL,79633,0,NULL,NULL,6,NULL,MIGRATED
7986048,"2021-10-26 22:08:11",NULL,NULL,NULL,NULL,0,19.10,21.01,NULL,NULL,"2021-10-27 00:00:00",SCHEDULED,82972,NULL,4086,NULL,NULL,NULL,79633,0,NULL,NULL,5,NULL,MIGRATED
7986047,"2021-10-26 22:08:11",NULL,NULL,NULL,NULL,0,19.10,21.01,NULL,NULL,"2021-10-27 00:00:00",SCHEDULED,82972,NULL,4086,NULL,NULL,NULL,79633,0,NULL,NULL,4,NULL,MIGRATED
7986046,"2021-10-26 22:08:11",NULL,NULL,NULL,NULL,0,19.10,21.01,NULL,NULL,"2021-10-27 00:00:00",SCHEDULED,82972,NULL,4086,NULL,NULL,NULL,79633,0,NULL,NULL,2,NULL,MIGRATED
7341363,"2022-04-28 22:50:03","2022-04-28 22:50:03","2022-04-30 00:00:00","2022-04-30 00:00:00",NULL,1,5500.00,6050.00,5390.00,NULL,"2022-04-29 00:00:00",SCHEDULED,95321,95321,10419,2,0,110.00,144833,0,NULL,NULL,3,NULL,BEFORE_MIGRATION
268385,"2021-10-26 22:08:11",NULL,NULL,NULL,NULL,0,19.10,21.01,NULL,NULL,"2021-10-27 00:00:00",SCHEDULED,82972,NULL,4086,NULL,NULL,NULL,79633,0,NULL,NULL,1,NULL,BEFORE_MIGRATION
